SWARM EXPERIMENT ORDER: ['sme_fp32_tiles', 'compiler_codegen', 'address_generation']
SCORED /Users/vishnuv/Documents/Documents/weavehacks/evidence/cpu-swarm-ac-2026-09-24/search/trial-000/validation-0.json True [{'name': 'gflops', 'value': 1270.2012501061822, 'direction': 'max'}]
SCORED /Users/vishnuv/Documents/Documents/weavehacks/evidence/cpu-swarm-ac-2026-09-24/search/trial-000/validation-1.json True [{'name': 'gflops', 'value': 1445.789816356168, 'direction': 'max'}]
SCORED /Users/vishnuv/Documents/Documents/weavehacks/evidence/cpu-swarm-ac-2026-09-24/search/trial-000/validation-2.json True [{'name': 'gflops', 'value': 1536.8500954022952, 'direction': 'max'}]
SCORED /Users/vishnuv/Documents/Documents/weavehacks/evidence/cpu-swarm-ac-2026-09-24/search/trial-001/control-0.json True [{'name': 'gflops', 'value': 1510.1854052116528, 'direction': 'max'}]
SCORED /Users/vishnuv/Documents/Documents/weavehacks/evidence/cpu-swarm-ac-2026-09-24/search/trial-001/validation-0.json True [{'name': 'gflops', 'value': 47.93241209471232, 'direction': 'max'}]
SCORED /Users/vishnuv/Documents/Documents/weavehacks/evidence/cpu-swarm-ac-2026-09-24/search/trial-001/validation-1.json True [{'name': 'gflops', 'value': 49.597756196464964, 'direction': 'max'}]
SCORED /Users/vishnuv/Documents/Documents/weavehacks/evidence/cpu-swarm-ac-2026-09-24/search/trial-001/control-1.json True [{'name': 'gflops', 'value': 1226.6624724723301, 'direction': 'max'}]
SCORED /Users/vishnuv/Documents/Documents/weavehacks/evidence/cpu-swarm-ac-2026-09-24/search/trial-001/control-2.json True [{'name': 'gflops', 'value': 1145.3246378666672, 'direction': 'max'}]
SCORED /Users/vishnuv/Documents/Documents/weavehacks/evidence/cpu-swarm-ac-2026-09-24/search/trial-001/validation-2.json True [{'name': 'gflops', 'value': 47.70277766706538, 'direction': 'max'}]
SCORED /Users/vishnuv/Documents/Documents/weavehacks/evidence/cpu-swarm-ac-2026-09-24/search/trial-002/control-0.json True [{'name': 'gflops', 'value': 1491.647890988238, 'direction': 'max'}]
