Provider check 1/30: proposal-active-cache; valid=True
Provider check 2/30: arbiter-active-cache; valid=True
Provider check 3/30: frontier-active-cache; valid=True
Provider check 4/30: proposal-active-batching; valid=True
Provider check 5/30: arbiter-active-batching; valid=True
Provider check 6/30: frontier-active-batching; valid=True
Provider check 7/30: proposal-active-sequences; valid=True
Provider check 8/30: arbiter-active-sequences; valid=True
Provider check 9/30: frontier-active-sequences; valid=True
Provider check 10/30: proposal-active-context; valid=True
Provider check 11/30: arbiter-active-context; valid=True
Provider check 12/30: frontier-active-context; valid=True
Provider check 13/30: proposal-actual-parent; valid=True
Provider check 14/30: arbiter-actual-parent; valid=True
Provider check 15/30: frontier-actual-parent; valid=True
Provider check 16/30: proposal-budget-exhausted; valid=True
Provider check 17/30: arbiter-budget-exhausted; valid=True
Provider check 18/30: frontier-budget-exhausted; valid=True
Provider check 19/30: proposal-missing-metric; valid=True
Provider check 20/30: arbiter-missing-metric; valid=True
Provider check 21/30: frontier-missing-metric; valid=True
Provider check 22/30: proposal-ranking; valid=True
Provider check 23/30: arbiter-ranking; valid=True
Provider check 24/30: frontier-ranking; valid=True
Provider check 25/30: proposal-inactive; valid=True
Provider check 26/30: arbiter-inactive; valid=True
Provider check 27/30: frontier-inactive; valid=True
Provider check 28/30: proposal-quality-failure; valid=True
Provider check 29/30: arbiter-quality-failure; valid=True
Provider check 30/30: frontier-quality-failure; valid=True
{'passed': True, 'first_pass_valid': 30, 'valid_with_one_retry': 30}
