Provider check 1/34: proposal-active-cache; valid=True
Provider check 2/34: arbiter-active-cache; valid=True
Provider check 3/34: frontier-active-cache; valid=True
Provider check 4/34: proposal-active-batching; valid=True
Provider check 5/34: arbiter-active-batching; valid=True
Provider check 6/34: frontier-active-batching; valid=True
Provider check 7/34: proposal-active-sequences; valid=True
Provider check 8/34: arbiter-active-sequences; valid=True
Provider check 9/34: frontier-active-sequences; valid=True
Provider check 10/34: proposal-active-context; valid=True
Provider check 11/34: arbiter-active-context; valid=True
Provider check 12/34: frontier-active-context; valid=True
Provider check 13/34: proposal-actual-parent; valid=True
Provider check 14/34: arbiter-actual-parent; valid=True
Provider check 15/34: frontier-actual-parent; valid=True
Provider check 16/34: proposal-budget-exhausted; valid=True
Provider check 17/34: arbiter-budget-exhausted; valid=True
Provider check 18/34: frontier-budget-exhausted; valid=True
Provider check 19/34: proposal-missing-metric; valid=True
Provider check 20/34: arbiter-missing-metric; valid=True
Provider check 21/34: frontier-missing-metric; valid=True
Provider check 22/34: proposal-ranking; valid=True
Provider check 23/34: arbiter-ranking; valid=True
Provider check 24/34: frontier-ranking; valid=True
Provider check 25/34: proposal-inactive; valid=True
Provider check 26/34: arbiter-inactive; valid=True
Provider check 27/34: frontier-inactive; valid=True
Provider check 28/34: proposal-quality-failure; valid=True
Provider check 29/34: arbiter-quality-failure; valid=True
Provider check 30/34: frontier-quality-failure; valid=True
Provider check 31/34: proposal-active-enable_prefix_caching; valid=True
Provider check 32/34: proposal-active-enable_chunked_prefill; valid=True
Provider check 33/34: proposal-active-enforce_eager; valid=True
Provider check 34/34: proposal-active-gpu_memory_utilization; valid=True
{'passed': True, 'first_pass_valid': 34, 'valid_with_one_retry': 34}
